question,option_0,option_1,option_2,option_3,answer,remark
Mia正准备参加冲刺回顾会议时被发起者拦住了。他问Mia会议的内容，有谁参加会议。Mia告诉他，参加冲刺回顾会议的人包括：Mia was entering the sprint retrospective meeting when she was stopped by the sponsor. He asked Mia what the meeting was about and who all are the participants. Mia told that following roles are the attendees at the sprint retrospective meeting:,"Scrum主管，团队 Scrum Master, Team","产品负责人，Scrum主管，团队，客户 Product Owner, Scrum Master, Team, Customer","产品负责人，PMO，团队 Product Owner, PMO, Team","产品负责人，Scrum主管，团队 Product Owner, Scrum Master, Team",D,关键词：冲刺回顾会议考点：冲刺回顾会的参与人员。在敏捷里面会有鸡和猪的角色，猪是敏捷团队成员，包括PO，SM，DevTeam；鸡是团队外的人，利益相关方，领导等等，也就是可能会对项目有直接影响的人。冲刺回顾会由Scrum团队的所有成员即猪的角色参加。A选项 少了PO；B选项 多了客户；C选项 多了PMO，少了Scrum Master
"一个IT项目的客户坚持使用来自某个地区供应商的许可软件,在项目开始之前,合同中定义了不同的供应商和原产国。项目经理应该做什么?The client for an IT project insists on using licensed software from a vendor from a certain region.A different vendor and country of origin were defined in the contract prior to the project's start. What should the project manager do?",与客户分享合同协议 Share the contract agreement with the client.,通知客户已经采购该软件 Inform the client that the software was already purchase,从采购团队获得该地区的软件供应商清单 Obtain a list of software vendors from that region from the procurement team.,"提出一项变更请求,以符合客户的偏好 Initiate a change request to comply with the client's preference.",A,PMBOK(6)P489-12.2.3.2 协议。 客户提出新要求，项目经理应该和客户先看合同，如果必要，让客户提出变更 其他选项：先A，必要时再D，然后再考虑CB
两个团队成员之间的沟通不畅正在影响项目的进展。项目经理首先应该做什么?Miscommunication between two team members is affecting a project'sprogress. What should the project manager do first?,培训存在无效沟通问题的团队成员 Train the team members who are ineffectively communicating,要求将所有沟通发布到团队协作板上 Require that all communications are posted to a team collaboration board,遵循沟通管理计划 Follow the communications management plan,"与团队开会,以评估当前的沟通方式 Meet with the team to assess current communication styles",D,PMBOK(6)P392- 10.3.2.5 会议。沟通存在问题，首先先评估当前的方式是否有问题以及影响，必要的时候发起变更。其他选项：已经出了问题，就不能再遵循沟通管理计划，也不能遵循原沟通计划进行培训，因此AC不对，B在D的后面。
"由于技术已在其他工厂运行，一个项目的用户验收测试被省略。但是，在实施后，该技术不能按预期起作用。项目经理应该怎么做？User acceptance tests on a project have been omitted since the technology is operational at other factories.However,after implementation,the technology is not working as expected. What should the project manager do?",查看缺陷报告以确定并解决问题 Review the defect report ti identify and solve issue,提交变更请求 Submit a change request,执行根本原因分析，以确定纠正措施 Conduct a root cause analysis to identify corrective actions,使用测试脚本来解决问题 Use test scripts to resolve the issue,C,PMBOK(6)P304- 8.3.2.5数据表现-因果图。发生了问题，先分析原因并确定措施。其他选项：A查看报告意义不大，B或D是可能的解决方案之一，但是要先做完C才能做B或D。
"你是一个适应型项目的项目经理，正试图了解实际进度，估计完成可发布产品所需的时间。为了实现这个目标，你会使用什么调度技术?You are the project manager of an adaptive project and trying to find the actual progress and to estimate the time needed to have a releasable product. To achieve this objective, what scheduling technique would you use?",有待办事项列表的迭代进度计划 Iterative scheduling with a backlog,按需进度计划 On-demand scheduling,敏捷发布计划 Agile release planning,看板系统 Kanban system,C,项目使用适应型生命周期，适应型生命周期也称敏捷型生命周期。在敏捷项目中进度通过敏捷发布规划来进行。敏捷发布计划是一种根据业务目标、依赖关系和障碍来确定需要开发多少以及需要多长时间才能完成一个可发布产品的技术。题干中“试图了解实际进度，估计完成可发布产品所需的时间”可通过敏捷发布计划来实现，选项C正确。选项A：一个项目会有不止一个迭代，所以它并不能估算完成可发布产品所需的时间，选项A不正确。选项B：按需进度计划方法不依赖于以前为产品开发或产品增量制定的进度计划，而是在资源可用时立即从未完项和工作序列中提取出来开展。选项D：看板系统关注工作流程的可视化，D不能实现题干的目的。
"在考虑Scrum主管时，我们需要决定谁最适合这个角色。以下哪个任务不应该由Scrum主管执行?When considering the Scrum Master role, we need to decide who is best suited for it. Which of the following tasks should not be performed by a scrum master?",开展进修培训，提醒新团队在估算产品待办事项时使用规划扑克的规则 Performing refresher training to remind a new team about the rules of Planning Poker when estimating product backlog items,更新冲刺并发布燃尽图或燃起图。 Updating sprint and release burndown or burnup chart.,与非Scrum团队成员进行讨论 Having discussions with non-Scrum-team members,与内部和外部利益相关方会面，对即将到来的冲刺进行优先排序 Meeting with both the internal and external stakeholders to rank the priorities for the upcoming sprint,D,《敏捷实践指南》表4-2敏捷团队角色。与内部和外部利益相关方会面，对即将到来的冲刺进行优先排序是产品负责人的职责。选项A：Scrum主管负责确保Scrum过程获得相应支持且Scrum团队遵从实践和规则，并指导团队消除障碍，选项A是Scrum主管的职责；选项B：Scrum主管给团队定义基本规则，确保团队理解干系人期望并以连贯的单元模式工作，正确实施Scrum；选项C：Scrum主管是服务型领导，帮助Scrum团队外的人员了解他们如何与Scrum团队交互是有益的，通过改变他们与Scrum团队的互动方式来最大化Scrum团队所创造的价值。
"项目团队在完成现有工作后，马上在团队内部分配新工作。这是因为缺乏适当的汇报制度，也没有对在制品和剩余的工作进行控制。在这种情况下，你建议团队怎么做?The project team is struggling to assign new work among them as soon as existing work is completed. This is because there is no proper reporting, nor is there control of work in progress and the work remaining. What do you suggest the team do in such a situation?",使用看板指示牌 Use a Kanban sign board,消除工作中的浪费，创造额外的工作能力 Remove waste from the work to create extra capacity for work,应用六西格码，解决缺陷 Remove defects by applying the Six Sigma process,使用敏捷开发方法 Use an Agile development approach,A,敏捷实践指南，P105看板面板（看板指示牌）利用了进入和退出策略以及限制在制品等制约因素，可提供一目了然的工作流、瓶颈、阻碍和整体状态信息。此外，面板可作为面向所有观众的信息发射源，提供团队工作状态的最新信息。选项A正确。选项B：题目没有提及浪费相关，排除；选项C:六西格玛是一种改善企业质量流程管理的技术，通过减少缺陷来提高质量，降低成本。不符合题意；选项D：范围太大，没有聚焦题干的问题，排除。
"一个软件开发项目的项目章程已获批准,项目经理召集会议准备项目管理计划,项目经理得知开发团队成员对他们的角色和职责感到困惑。 若要避免这个问题,项目经理应该事先做什么?Approval of the project charter for a software development project has been obtained and the project manager calls a meeting to prepare the project management plan.The project manager learns that the development team members are confused about their roles and responsibilities. What should the project manager have done to avoid this?",审查沟通管理计划 Reviewed the communication management plan.,制定项目资源管理计划 Developed the project resource management plan.,创建一份相关方登记册 Created a stakeholder register.,分享工作分解结构(WBS) Shared the work breakdown structure(WBS).,B,PMBOK(6)P318- 9.1.3.1资源管理计划。团队的角色与职责在资源管理计划里。 其他选项：A沟通管理计划是关于项目沟通的信息，C相关方登记册记录了相关方的基本信息，D的WBS为范围基准的一部分
项目经理意识到数据收集不足并且不符合质量管理计划，这种疏忽将严重影响项目的制约因素。项目经理下一步应该怎么做？A project manager realizes that data gathering is insufficient and does not conform to the quality management plan. This oversight will seriously affect the project's constraints. What should the project manager do next?,提交变更请求，以修订质量管理计划 Submit a change request to revise the quality management plan.,"遵行因果分析，并将结果报告给项目发起人 Conduct a cause-and-effect analysis, and report the results to the project sponsor.",确定不合格的根本原因 Determine the root cause of the nonconformance.,"通知项目发起人，并要求与相关方开会，以修订质量管理计划 Inform the project sponsor, and request a meeting with stakeholder to revise the quality management plan.",C,PMBOK(6)P292- 8.2.2.2根本原因分析。根本原因分析是确定引起偏差、缺陷或风险的根本原因的一种分析技术。与质量管理计划有偏差，要先分析偏差的根本原因。 其他选项：A，错的不是质量管理计划，B上报没有意义，D在C之后。
"项目团队中两名最关键的资源私下告知项目经理他们已经辞职并将在一个月内离开项目,这两位成员非常受欢迎,团队中的其他成员也向他们寻求建议和支持。 项目经理应该做什么?Two of the most critical resource on a project team privately informs the project manager that they have resigned and will leave the project within a month.These member are very popular,and others in the team lock to the advice and support. What should the project manager do?","举行团队会议,宣布这两名成员辞职并解决任何疑虑 Conduct a team meeting to announce the resignations and address any concerns.","要求团队成员不要讨论这两位成员辞职的信息,以免士气受到影响 Ask the team members to refrain from discussing their resignations so that morale is not impacted.","推迟行动,因为这两名成员仍会在团队待一个月 Postpone action,since the two members are still on the team for another month.","向所有团队成员发送一封电子邮件,告知这两名成员辞职的信息 Send an email to all team members to inform them of the resignations.",A,PMBOK(6)P350- 9.5.3.1变更请求。人员配备变更包括转派人员、外包部分工作，或替换离职人员。人员离职属于人员配备变更，要尽快处理并发出变更请求。 其他选项：BC，离职是无法隐瞒的，同时要尽快安排交接。D，不仅要告知，还要采取行动，以避免对项目的影响。
"开发团队完成了一个最先进的软件项目，并计划启动收尾阶段。但是，由于不符合约定可交付成果，一位关键相关方拒绝签字。若要促进验收，项目经理应该怎么做？A development team completed a state-of-the-art software project and plans to initiate the closing phase,However, one key stakeholder refused to sign off due to of non-conformance with the agreed upon deliverables. What should the project manager do to facilitate acceptance?",为可交付成果的变更提供新的工作说明书(SOW) Provide a new statement of work (SOW) for the variation in the deliverables,记录不合格情况并启动变更管理过程 Document the nonconformists and start the change management process,记录不合格情况并启动项目收尾 Record the nonconformists and initiate project closure,执行偏差分析以确定可交付成果中的任何偏差 Conduct a variance analysis to identify any deviations in deliverables,B,"PMBOK(6)P166- 5.5.3.3 变更请求 ""不符合约定可交付成果，相关方拒绝签字"", 即表示项目未通过正式验收， 需要走变更流程，对已经完成但未通过正式验收的可交付成果及其未通过验收的原因，应该记录在案。可能需要针对这些可交付成果提出变更请求，开展缺陷补救。 其他选项：验收不通过，要第一时间变更，采取缺陷补救。然后再考虑AD，C的流程不正确，不能带着问题收尾。"
一家公司必须实施一项产品来解决监管问题。项目经理必须让来自几个国家的不同团队参与进来，并使他们与承诺的里程碑保持一致。项目发起人要求项目经理在本周创建并分发项目进度计划。项目经理应该怎么做？A company must implement a product to resolve regulatory issues. The Project managers must involve different teams from several countries and align them with the committed milestones. The sponsor asks the project manager to create and circulate the project schedule this week. What should the project manager do?,根据所需的里程碑创建进度计划并发布 Create the schedule based on the required milestones and publish it,要求团队提供意见，并根据团队可用性创建进度计划 Request input from the teams and create the schedule based on their availability,获得团队的估算，并使用进度计划工具来调整和满足里程碑 Obtain the estimates from the teams and use the scheduling tools to adjust and meet milestones,使用暂定日期分发活动清单和相应属性 Circulate the list of activities and respective attributes with tentative dates,C,PMBOK(6)P205- 6.5制定进度计划。 制定项目进度计划，一方面要有具体活动的时间估算，还要使用相关的各种进度计划工具来完成。C最全面 其他选项：A未考虑估算 、B只考虑的资源、D直接分发不对
"这个项目非常复杂，需求变化多端。客户尝试创建一个在市场上独一无二的创新项目。每个人都非常努力地工作，并在项目上投入了大量时间。但目前来看，形势并不乐观。你的团队原计划在当前冲刺中完成六个故事。但是到冲刺快结束时，只完成了四个。你该怎么办？It is a very complex project with many changes to the requirements. The customer is trying to create a project that is unique and early comer at the market. Everyone is working very hard and is pulling a lot of hours on the project. Currently, the situation does not look very optimistic. Your team planned to complete six stories in the current sprint. But as you reach the end of the sprint, only four of them are done. What should you do?",将剩余的故事返回到待办事项列表，重新做计划 Return the remaining stories to the backlog for re-planning,请求产品负责人延长冲刺 Ask the product owner to extend the sprint,在有空档的时候处理剩下的故事 Work on the remaining stories when you can fit them in,在下一个冲刺开始时安排剩余的故事 Schedule the remaining stories at the start of the next sprint,A,由于冲刺是有时间限制的且不可随意改变，冲刺结束，我们便停止工作，并将未完成的任务返回待办事项列表，进行重新规划。选项A正确。选项B：冲刺的时间是不可以随意改变的；选项C：剩下的故事需要重回待办事项列表做计划，随机安排方法不可取；选项D：在下一次计划会议上，我们将处理客户更新的优先事项和新的信息；这次我们没有完成的工作可能是也可能不是我们下一个冲刺的首要任务。所以选项D，没有重新计划就直接往下安排不正确。
在大量数据中获得的质量报告表明，目前的可交付成果存在许多缺陷。项目经理应该使用什么工具或技术来获得制定决策的洞察力？Quality reports derived from large amounts of data indicate that the current deliverable has many defects.What tool or technique should the project manager use to gain insight for decision making?,亲和图 Affinity diagram,石川图 Ishikawa diagram,控制图 Control chart,帕累托分析 Pareto analysis,D,PMBOK(6)P304-8.3.2.5数据表现。因为有大量缺陷，所以首先要解决最重要的问题，因此首先使用帕累托分析，查看造成大多数问题的少量原因。其他选项：A亲和图用于将大量收集的事实、意见或者构思等资料按照亲和性归纳整理。B石川图用于寻找问题出现的根本原因，可以在D之后使用C控制图用于动态查看过程的稳定性
"项目经理正在为刚刚进入第三次迭代的项目使用混合方法。完工预算(BAC)为500,000美元，已经完成100个故事点中的50个，每个故事点价值5,000美元，项目实际成本(AC)为400,000美元。管理层要求在下一次指导委员会会议上提交成本状态报告。项目经理应该使用什么来提交该报告？A project manager is using a hybrid approach for a project that has just entered its third iteration. The budget at completion (BAC) is $500,000 and 50 story points out of 100 have been complete Each story point is worth $5,000 and the actual cost (AC) of the project is $400,000. Management requests that a cost status report be presented of the next steering committee meeting. What should the project manager use to present this?",信息发射源 Information radiator,S曲线 S curve,燃尽图 Bum-down chart,燃起图 Bum-up chart,B,PMBOK(6)P264- 7.4.2.2 挣值分析。 需要提交成本状态报告，S曲线，能够展示成本、进度与基准的偏离情况。 其他选项：A包括CD，都偏重于任务进度，而非成本。
"技术的进步使组织需要改进产品线的规格以保持领先于竞争对手。但是，本财政年度的预算已经处于巨大压力之下，新项目的可用资金很少。项目经理应该怎么做？Advances in technology create an organizational need to improve a product line’s specifications to stay ahead of competitors. However, the budget for this financial year is already under significant strain,leaving very little funding available for new project.What should the project manager do?",等到新的财政年度再对产品改进做出任何变更 Wait for the new financial year to make any changes in product advancements,对商业论证执行成本效益分析，以说明实施项目的好处 Perform a cost-benefit analysis of the business case to illustrate the benefits of implementing the project,计算ROI以确定继续执行项目是否有意义 Calculate the ROI to decided it makes sense to proceed with the project,计算预期货币价值(EMV)以向组织提出必要的建议 Calculate the expected monetary value (EMV) to make the necessary recommendations to the organization,B,PMBOK（6）P30-1.2.6.1项目商业论证。项目商业论证指文档化的经济可行性报告，用来对尚缺乏充分定义的所选方案的收益进行有效论证。新了解到的信息要重新进行商业论证，用来论证项目的可行性。无论本财年年度预算是否紧张，新项目可用资金的拨付也是建立在商业论证结果的基础上，排除选项A。 选项C：ROI是商业论证的一个维度但不是全部。 选项D：通常用于风险定量分析。
"你所在的机构在科技领域开展业务已有 30 多年的历史。 你们一直是引入光纤通信的先驱，这也是你的公司最为人熟知的业务。 但是，由于全球环境的变化，你知道你的公司必须开始在项目实施中使用敏捷方法。 即将到来的项目将是公司首次使用敏捷方法，项目发起者向你询问定制新方法的事宜。 你如何回应？Your organization has been in the technology business for over 30 years. You have been pioneers in introducing fiber communications and that is what you are well known for. However, due to the changes in the global environment, you know that your company has to start using the Agile approach in the implementation of projects. The upcoming project will be the organization's first use of agile, and the sponsor asks you about tailoring the new methodology. How do you respond?",直接定制敏捷方法将能简化应用过程。 Customizing the methodology upfront will allow us to streamline the adoption process.,“采用新方法将是团队学习敏捷实践的好途径。” Adapting the new methodology will be a good way for the team to learn about agile practices.,“团队应该先适应新方法，然后再考虑改变。” The team should become comfortable with the new methodology before we consider changing it.,“我们应该等到看到团队在应用该方法时遇到困难了，才调整我们的方法” We should wait to adjust our practices until we see where the team runs into difficulties applying them,C,《敏捷实践指南》第30页。许多团队无法在一夜之间切换到敏捷工作方式。对于那些已经习惯于预测型环境、并在其中获得成功的人士，敏捷技术的观感截然不同。组织越大，活动部件越多，转换需要的时间就越长。因此，计划一个渐进的过渡是有意义的。可以先在一个风险不大、具有中低程度不确定性的项目中尝试这些新技术。在组织成功地使用混合方法后，再尝试更复杂的项目，这些项目需要增加更多的技术。这是一种根据组织的情况、特定的风险，以及团队适应并接受变革的就绪情况而调整的渐进混合过渡。因此C正确。选项AB：直接采用敏捷和新方法的方式有风险；选项D：被动的采取方案，不做调整难以适应全球的变化，不选。
"项目经理接管了一个处于第二阶段的多阶段项目,其应该从之前的项目经理那里获得哪些来有效地管理当前和未来项目阶段的资源?A project manager assumes a multi-phase project during its second phase.What show they seek from the previous project manager to effectively manage resources for current and future project phases?",将在未来几个阶段交付的任务 Tasks that will be delivered in the next phase,下一个阶段的资源日历 Resources calendar for the next phase,已定义角色和职责的资源 Resources with defined roles and responsibilities,资源分解结构(RBS) Resources breakdown structure(RBS),D,PMBOK(6)P354- 9.6.1.2项目文件。资源分解结构为项目过程中需要替换或重新获取资源的情况提供了参考。多个阶段的需求，目前排除法只能选D。A看任务是不合适的，因为没有资源。B没有当前阶段的信息，C只有当前阶段没有未来阶段的信息。
"由于项目落后于进度,超出了项目经理控制。一名有影响力但很少参加项目更新会议的高级经理抱怨项目延期。项目经理应该怎么做？A project is behind schedule for reasons beyond the project manager’s control.An influential senior manager,who rarely participates in project update meetings,complains about the delay.What should the project manager do?",管理沟通并签发变更请求 Manage communications and issue a change request.,更新相关方登记册和风险日志 Update the stakeholder register and risk log.,控制沟通并更新项目文件 Control communications and update project documents.,更新问题日志并控制相关方的参与程度 Update the issue log and control stakeholder engagement.,D,PMBOK(6)P530-13.4 监督相关方参与。延期、抱怨都是问题而非风险，同时要监控相关方，因此D更全面 其他选项：AC，非沟通问题。B非风险。
"你正在一个迭代过程中，期间，你意识到有一些未预料到的问题将阻止你完成所有本次迭代承诺的用户故事。你应该怎么做？You are working on an iteration and in between the iteration, you realize that some unforeseen issues will prevent you from completing all the committed user stories for that iteration. What should you do?","削减""完成的定义""，以弥补失去的时间 Reduce the Denition of Done to make up for the lost time",在满足所有标准的前提下，完成可以完成的故事 Complete what can be achieved meeting all the criteria,要求产品负责人延长迭代的时间盒限制，以完成所有承诺的故事 Ask Product Owner to extend the timebox limit of the iteration so that all committed stories can be completed,让团队周末加班，以履行承诺 Let the team work over the weekend to meet their commitment,B,参见《敏捷实践指南》敏捷12原则以及五大价值观。敏捷过程提倡可持续的开发以及勇气，专注。当遇到障碍时，敏捷团队应尽己所能，勇敢面对。A选项，不能因为出现未预料到的问题而去消减DoD，改变范围。C选项，即使遇见问题，也应该是按照当前迭代进行开发，迭代冲刺的时间不能随意延长，未能实现的DoD，可在后续迭代中继续实现。D选项，敏捷提倡可持续的开发速度，不提倡加班。
